id,Project,TeamExp,ManagerExp,YearEnd,Length,Effort,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language
1108,1108,3,1,85,14,4277,148,324,472,39,491,1
1109,1109,4,4,85,16,7252,116,170,286,27,263,1
1110,1110,4,1,85,14,3948,175,277,452,37,461,1
1111,1111,4,3,86,6,3927,79,128,207,27,190,1
1112,1112,1,1,86,9,710,145,38,183,27,168,3
1113,1113,4,4,87,9,2429,174,78,252,41,267,3
1114,1114,1,1,85,5,6405,194,91,285,35,285,1
1115,1115,2,2,88,3,651,126,49,175,38,180,3
1116,1116,1,3,86,17,9135,317,119,436,34,432,2
1117,1117,2,4,87,11,1435,289,88,377,28,351,3
1118,1118,-1,-1,87,8,5922,260,144,404,24,360,1
1119,1119,1,4,88,4,847,158,59,217,18,180,3
1120,1120,3,3,88,16,8050,302,145,447,52,523,2
1121,1121,1,1,87,9,4620,451,48,499,28,464,1
1122,1122,2,4,87,34,2352,661,132,793,23,698,3
1123,1123,1,1,88,10,2174,64,54,118,25,106,1
1124,1124,-1,4,86,39,19894,284,230,514,50,591,1
1125,1125,2,1,86,18,6699,182,126,308,35,308,1
1126,1126,2,3,87,27,14987,173,332,505,19,424,1
1127,1127,2,2,88,9,4004,252,7,259,28,241,1
1128,1128,4,3,85,11,12824,131,180,311,51,361,1
1129,1129,2,3,85,8,2331,106,39,145,6,103,1
1130,1130,3,3,85,9,5817,96,108,204,29,192,1
1131,1131,2,3,85,7,2989,116,72,188,18,156,1
1132,1132,3,3,85,6,3136,86,49,135,32,131,1
1133,1133,2,3,85,17,14434,221,121,342,35,342,1
1134,1134,1,1,87,12,2583,61,96,157,18,130,1
1135,1135,1,3,86,12,3647,132,89,221,5,155,2
1136,1136,3,7,86,13,8232,45,387,432,16,350,2
1137,1137,1,1,86,12,3276,55,112,167,12,129,2
1138,1138,1,4,87,8,2723,124,52,176,14,139,2
1139,1139,3,3,87,5,3472,120,126,246,15,197,2
1140,1140,1,2,87,6,1575,47,32,79,14,62,2
1141,1141,1,1,86,12,2926,126,107,233,23,205,2
1142,1142,3,2,86,6,1876,101,45,146,15,117,2
1143,1143,1,1,86,5,2520,78,99,177,14,140,1
1144,1144,4,7,86,13,1603,69,74,143,14,113,1
1145,1145,1,3,86,8,3626,194,97,291,35,291,2
1146,1146,2,-1,87,10,6783,224,110,334,28,309,2
1147,1147,2,4,87,15,11361,323,184,507,35,507,2
1148,1148,1,3,86,6,1267,42,31,73,27,67,2
1149,1149,1,2,87,5,2548,74,43,117,25,105,2
1150,1150,3,4,87,10,1155,101,57,158,9,117,2
1151,1151,0,4,86,6,546,97,42,139,6,99,3
1152,1152,2,3,84,13,2275,134,77,211,13,165,2
1153,1153,4,5,86,26,9100,482,227,709,26,645,2
1154,1154,0,2,84,6,595,213,73,286,6,203,3
1155,1155,0,-1,84,22,3941,139,143,282,22,245,2
1156,1156,2,3,86,24,13860,473,182,655,40,688,2
1157,1157,4,4,85,12,1400,229,169,398,39,414,3
1158,1158,4,3,83,12,2800,227,73,300,34,297,1
1159,1159,4,4,82,24,9520,395,193,588,40,617,1
1160,1160,4,3,86,12,5880,469,176,645,43,697,3
1161,1161,4,4,85,36,23940,886,241,1127,34,1116,1
1162,1162,1,4,85,12,5152,253,52,305,34,302,1
1163,1163,0,0,86,4,5635,197,124,321,33,315,1
1164,1164,4,4,85,1,805,40,60,100,18,83,1
1165,1165,0,0,86,5,3829,200,119,319,30,303,1
1166,1166,0,0,86,4,2149,140,94,234,24,208,1
1167,1167,0,0,86,4,2821,97,89,186,38,192,1
1168,1168,2,1,85,9,2569,119,42,161,25,145,2
1169,1169,1,2,83,13,3913,186,52,238,25,214,1
1170,1170,3,1,85,12,7854,172,88,260,30,247,1
1171,1171,3,4,83,4,2422,78,38,116,24,103,1
1172,1172,4,1,84,21,4067,167,99,266,24,237,1
1173,1173,2,1,84,17,9051,146,112,258,40,271,1
1174,1174,1,1,84,3,2282,33,72,105,19,88,1
1175,1175,3,4,85,8,4172,162,61,223,32,216,1
1176,1176,4,4,85,9,4977,223,121,344,28,320,1
1177,1177,3,2,85,8,1617,119,48,167,26,152,2
1178,1178,4,3,85,8,3192,57,43,100,43,108,1
1179,1179,4,4,86,14,3437,68,316,384,20,326,2
1180,1180,3,4,87,14,4494,9,386,395,21,340,2
1181,1181,4,2,86,5,840,58,34,92,29,86,1
1182,1182,4,4,86,12,14973,318,269,587,34,581,2
1183,1183,2,4,85,18,5180,88,170,258,34,255,1
1184,1184,2,4,86,5,5775,306,132,438,37,447,1
1185,1185,4,1,87,20,10577,304,78,382,39,397,1
1186,1186,1,4,86,8,3983,89,200,289,33,283,1
1187,1187,4,1,85,14,3164,86,230,316,33,310,1
1188,1188,2,0,86,6,3542,71,235,306,37,312,1
1189,1189,3,1,85,14,4277,148,324,472,39,491,1
1190,1190,4,4,85,16,7252,116,170,286,27,263,1
1191,1191,4,1,85,14,3948,175,277,452,37,461,1
1192,1192,4,3,86,6,3927,79,128,207,27,190,1
1193,1193,1,1,86,9,710,145,38,183,27,168,3
1194,1194,4,4,87,9,2429,174,78,252,41,267,3
1195,1195,1,1,85,5,6405,194,91,285,35,285,1
1196,1196,2,2,88,3,651,126,49,175,38,180,3
1197,1197,1,3,86,17,9135,317,119,436,34,432,2
1198,1198,2,4,87,11,1435,289,88,377,28,351,3
1199,1199,-1,-1,87,8,5922,260,144,404,24,360,1
1200,1200,1,4,88,4,847,158,59,217,18,180,3
1201,1201,3,3,88,16,8050,302,145,447,52,523,2
1202,1202,1,1,87,9,4620,451,48,499,28,464,1
1203,1203,2,4,87,34,2352,661,132,793,23,698,3
1204,1204,1,1,88,10,2174,64,54,118,25,106,1
1205,1205,-1,4,86,39,19894,284,230,514,50,591,1
1206,1206,2,1,86,18,6699,182,126,308,35,308,1
1207,1207,2,3,87,27,14987,173,332,505,19,424,1
1208,1208,2,2,88,9,4004,252,7,259,28,241,1
1209,1209,4,3,85,11,12824,131,180,311,51,361,1
1210,1210,2,3,85,8,2331,106,39,145,6,103,1
1211,1211,3,3,85,9,5817,96,108,204,29,192,1
1212,1212,2,3,85,7,2989,116,72,188,18,156,1
1213,1213,3,3,85,6,3136,86,49,135,32,131,1
1214,1214,2,3,85,17,14434,221,121,342,35,342,1
1215,1215,1,1,87,12,2583,61,96,157,18,130,1
1216,1216,1,3,86,12,3647,132,89,221,5,155,2
1217,1217,3,7,86,13,8232,45,387,432,16,350,2
1218,1218,1,1,86,12,3276,55,112,167,12,129,2
1219,1219,1,4,87,8,2723,124,52,176,14,139,2
1220,1220,3,3,87,5,3472,120,126,246,15,197,2
1221,1221,1,2,87,6,1575,47,32,79,14,62,2
1222,1222,1,1,86,12,2926,126,107,233,23,205,2
1223,1223,3,2,86,6,1876,101,45,146,15,117,2
1224,1224,1,1,86,5,2520,78,99,177,14,140,1
1225,1225,4,7,86,13,1603,69,74,143,14,113,1
1226,1226,1,3,86,8,3626,194,97,291,35,291,2
1227,1227,2,-1,87,10,6783,224,110,334,28,309,2
1228,1228,2,4,87,15,11361,323,184,507,35,507,2
1229,1229,1,3,86,6,1267,42,31,73,27,67,2
1230,1230,1,2,87,5,2548,74,43,117,25,105,2
1231,1231,3,4,87,10,1155,101,57,158,9,117,2
1232,1232,0,4,86,6,546,97,42,139,6,99,3
1233,1233,2,3,84,13,2275,134,77,211,13,165,2
1234,1234,4,5,86,26,9100,482,227,709,26,645,2
1235,1235,0,2,84,6,595,213,73,286,6,203,3
1236,1236,0,-1,84,22,3941,139,143,282,22,245,2
1237,1237,2,3,86,24,13860,473,182,655,40,688,2
1238,1238,4,4,85,12,1400,229,169,398,39,414,3
1239,1239,4,3,83,12,2800,227,73,300,34,297,1
1240,1240,4,4,82,24,9520,395,193,588,40,617,1
1241,1241,4,3,86,12,5880,469,176,645,43,697,3
1242,1242,4,4,85,36,23940,886,241,1127,34,1116,1
1243,1243,1,4,85,12,5152,253,52,305,34,302,1
1244,1244,0,0,86,4,5635,197,124,321,33,315,1
1245,1245,4,4,85,1,805,40,60,100,18,83,1
1246,1246,0,0,86,5,3829,200,119,319,30,303,1
1247,1247,0,0,86,4,2149,140,94,234,24,208,1
1248,1248,0,0,86,4,2821,97,89,186,38,192,1
1249,1249,2,1,85,9,2569,119,42,161,25,145,2
1250,1250,1,2,83,13,3913,186,52,238,25,214,1
1251,1251,3,1,85,12,7854,172,88,260,30,247,1
1252,1252,3,4,83,4,2422,78,38,116,24,103,1
1253,1253,4,1,84,21,4067,167,99,266,24,237,1
1254,1254,2,1,84,17,9051,146,112,258,40,271,1
1255,1255,1,1,84,3,2282,33,72,105,19,88,1
1256,1256,3,4,85,8,4172,162,61,223,32,216,1
1257,1257,4,4,85,9,4977,223,121,344,28,320,1
1258,1258,3,2,85,8,1617,119,48,167,26,152,2
1259,1259,4,3,85,8,3192,57,43,100,43,108,1
1260,1260,4,4,86,14,3437,68,316,384,20,326,2
1261,1261,3,4,87,14,4494,9,386,395,21,340,2
1262,1262,4,2,86,5,840,58,34,92,29,86,1
1263,1263,4,4,86,12,14973,318,269,587,34,581,2
1264,1264,2,4,85,18,5180,88,170,258,34,255,1
1265,1265,2,4,86,5,5775,306,132,438,37,447,1
1266,1266,4,1,87,20,10577,304,78,382,39,397,1
1267,1267,1,4,86,8,3983,89,200,289,33,283,1
1268,1268,4,1,85,14,3164,86,230,316,33,310,1
1269,1269,2,0,86,6,3542,71,235,306,37,312,1
1270,1270,3,1,85,14,4277,148,324,472,39,491,1
1271,1271,4,4,85,16,7252,116,170,286,27,263,1
1272,1272,4,1,85,14,3948,175,277,452,37,461,1
1273,1273,4,3,86,6,3927,79,128,207,27,190,1
1274,1274,1,1,86,9,710,145,38,183,27,168,3
1275,1275,4,4,87,9,2429,174,78,252,41,267,3
1276,1276,1,1,85,5,6405,194,91,285,35,285,1
1277,1277,2,2,88,3,651,126,49,175,38,180,3
1278,1278,1,3,86,17,9135,317,119,436,34,432,2
1279,1279,2,4,87,11,1435,289,88,377,28,351,3
1280,1280,-1,-1,87,8,5922,260,144,404,24,360,1
1281,1281,1,4,88,4,847,158,59,217,18,180,3
1282,1282,3,3,88,16,8050,302,145,447,52,523,2
1283,1283,1,1,87,9,4620,451,48,499,28,464,1
1284,1284,2,4,87,34,2352,661,132,793,23,698,3
1285,1285,1,1,88,10,2174,64,54,118,25,106,1
1286,1286,-1,4,86,39,19894,284,230,514,50,591,1
1287,1287,2,1,86,18,6699,182,126,308,35,308,1
1288,1288,2,3,87,27,14987,173,332,505,19,424,1
1289,1289,2,2,88,9,4004,252,7,259,28,241,1
1290,1290,4,3,85,11,12824,131,180,311,51,361,1
1291,1291,2,3,85,8,2331,106,39,145,6,103,1
1292,1292,3,3,85,9,5817,96,108,204,29,192,1
1293,1293,2,3,85,7,2989,116,72,188,18,156,1
1294,1294,3,3,85,6,3136,86,49,135,32,131,1
1295,1295,2,3,85,17,14434,221,121,342,35,342,1
1296,1296,1,1,87,12,2583,61,96,157,18,130,1
1297,1297,1,3,86,12,3647,132,89,221,5,155,2
1298,1298,3,7,86,13,8232,45,387,432,16,350,2
1299,1299,1,1,86,12,3276,55,112,167,12,129,2
1300,1300,1,4,87,8,2723,124,52,176,14,139,2
1301,1301,3,3,87,5,3472,120,126,246,15,197,2
1302,1302,1,2,87,6,1575,47,32,79,14,62,2
1303,1303,1,1,86,12,2926,126,107,233,23,205,2
1304,1304,3,2,86,6,1876,101,45,146,15,117,2
1305,1305,1,1,86,5,2520,78,99,177,14,140,1
1306,1306,4,7,86,13,1603,69,74,143,14,113,1
1307,1307,1,3,86,8,3626,194,97,291,35,291,2
1308,1308,2,-1,87,10,6783,224,110,334,28,309,2
1309,1309,2,4,87,15,11361,323,184,507,35,507,2
1310,1310,1,3,86,6,1267,42,31,73,27,67,2
1311,1311,1,2,87,5,2548,74,43,117,25,105,2
1312,1312,3,4,87,10,1155,101,57,158,9,117,2
1313,1313,0,4,86,6,546,97,42,139,6,99,3
1314,1314,2,3,84,13,2275,134,77,211,13,165,2
1315,1315,4,5,86,26,9100,482,227,709,26,645,2
1316,1316,0,2,84,6,595,213,73,286,6,203,3
1317,1317,0,-1,84,22,3941,139,143,282,22,245,2
1318,1318,2,3,86,24,13860,473,182,655,40,688,2
1319,1319,4,4,85,12,1400,229,169,398,39,414,3
1320,1320,4,3,83,12,2800,227,73,300,34,297,1
1321,1321,4,4,82,24,9520,395,193,588,40,617,1
1322,1322,4,3,86,12,5880,469,176,645,43,697,3
1323,1323,4,4,85,36,23940,886,241,1127,34,1116,1
1324,1324,1,4,85,12,5152,253,52,305,34,302,1
1325,1325,0,0,86,4,5635,197,124,321,33,315,1
1326,1326,4,4,85,1,805,40,60,100,18,83,1
1327,1327,0,0,86,5,3829,200,119,319,30,303,1
1328,1328,0,0,86,4,2149,140,94,234,24,208,1
1329,1329,0,0,86,4,2821,97,89,186,38,192,1
1330,1330,2,1,85,9,2569,119,42,161,25,145,2
1331,1331,1,2,83,13,3913,186,52,238,25,214,1
1332,1332,3,1,85,12,7854,172,88,260,30,247,1
1333,1333,3,4,83,4,2422,78,38,116,24,103,1
1334,1334,4,1,84,21,4067,167,99,266,24,237,1
1335,1335,2,1,84,17,9051,146,112,258,40,271,1
1336,1336,1,1,84,3,2282,33,72,105,19,88,1
1337,1337,3,4,85,8,4172,162,61,223,32,216,1
1338,1338,4,4,85,9,4977,223,121,344,28,320,1
1339,1339,3,2,85,8,1617,119,48,167,26,152,2
1340,1340,4,3,85,8,3192,57,43,100,43,108,1
1341,1341,4,4,86,14,3437,68,316,384,20,326,2
1342,1342,3,4,87,14,4494,9,386,395,21,340,2
1343,1343,4,2,86,5,840,58,34,92,29,86,1
1344,1344,4,4,86,12,14973,318,269,587,34,581,2
1345,1345,2,4,85,18,5180,88,170,258,34,255,1
1346,1346,2,4,86,5,5775,306,132,438,37,447,1
1347,1347,4,1,87,20,10577,304,78,382,39,397,1
1348,1348,1,4,86,8,3983,89,200,289,33,283,1
1349,1349,4,1,85,14,3164,86,230,316,33,310,1
1350,1350,2,0,86,6,3542,71,235,306,37,312,1
1351,1351,3,1,85,14,4277,148,324,472,39,491,1
1352,1352,4,4,85,16,7252,116,170,286,27,263,1
1353,1353,4,1,85,14,3948,175,277,452,37,461,1
1354,1354,4,3,86,6,3927,79,128,207,27,190,1
1355,1355,1,1,86,9,710,145,38,183,27,168,3
1356,1356,4,4,87,9,2429,174,78,252,41,267,3
1357,1357,1,1,85,5,6405,194,91,285,35,285,1
1358,1358,2,2,88,3,651,126,49,175,38,180,3
1359,1359,1,3,86,17,9135,317,119,436,34,432,2
1360,1360,2,4,87,11,1435,289,88,377,28,351,3
1361,1361,-1,-1,87,8,5922,260,144,404,24,360,1
1362,1362,1,4,88,4,847,158,59,217,18,180,3
1363,1363,3,3,88,16,8050,302,145,447,52,523,2
1364,1364,1,1,87,9,4620,451,48,499,28,464,1
1365,1365,2,4,87,34,2352,661,132,793,23,698,3
1366,1366,1,1,88,10,2174,64,54,118,25,106,1
1367,1367,-1,4,86,39,19894,284,230,514,50,591,1
1368,1368,2,1,86,18,6699,182,126,308,35,308,1
1369,1369,2,3,87,27,14987,173,332,505,19,424,1
1370,1370,2,2,88,9,4004,252,7,259,28,241,1
1371,1371,4,3,85,11,12824,131,180,311,51,361,1
1372,1372,2,3,85,8,2331,106,39,145,6,103,1
1373,1373,3,3,85,9,5817,96,108,204,29,192,1
1374,1374,2,3,85,7,2989,116,72,188,18,156,1
1375,1375,3,3,85,6,3136,86,49,135,32,131,1
1376,1376,2,3,85,17,14434,221,121,342,35,342,1
1377,1377,1,1,87,12,2583,61,96,157,18,130,1
1378,1378,1,3,86,12,3647,132,89,221,5,155,2
1379,1379,3,7,86,13,8232,45,387,432,16,350,2
1380,1380,1,1,86,12,3276,55,112,167,12,129,2
1381,1381,1,4,87,8,2723,124,52,176,14,139,2
1382,1382,3,3,87,5,3472,120,126,246,15,197,2
1383,1383,1,2,87,6,1575,47,32,79,14,62,2
1384,1384,1,1,86,12,2926,126,107,233,23,205,2
1385,1385,3,2,86,6,1876,101,45,146,15,117,2
1386,1386,1,1,86,5,2520,78,99,177,14,140,1
1387,1387,4,7,86,13,1603,69,74,143,14,113,1
1388,1388,1,3,86,8,3626,194,97,291,35,291,2
1389,1389,2,-1,87,10,6783,224,110,334,28,309,2
1390,1390,2,4,87,15,11361,323,184,507,35,507,2
1391,1391,1,3,86,6,1267,42,31,73,27,67,2
1392,1392,1,2,87,5,2548,74,43,117,25,105,2
1393,1393,3,4,87,10,1155,101,57,158,9,117,2
1394,1394,0,4,86,6,546,97,42,139,6,99,3
1395,1395,2,3,84,13,2275,134,77,211,13,165,2
1396,1396,4,5,86,26,9100,482,227,709,26,645,2
1397,1397,0,2,84,6,595,213,73,286,6,203,3
1398,1398,0,-1,84,22,3941,139,143,282,22,245,2
1399,1399,2,3,86,24,13860,473,182,655,40,688,2
1400,1400,4,4,85,12,1400,229,169,398,39,414,3
1401,1401,4,3,83,12,2800,227,73,300,34,297,1
1402,1402,4,4,82,24,9520,395,193,588,40,617,1
1403,1403,4,3,86,12,5880,469,176,645,43,697,3
1404,1404,4,4,85,36,23940,886,241,1127,34,1116,1
1405,1405,1,4,85,12,5152,253,52,305,34,302,1
1406,1406,0,0,86,4,5635,197,124,321,33,315,1
1407,1407,4,4,85,1,805,40,60,100,18,83,1
1408,1408,0,0,86,5,3829,200,119,319,30,303,1
1409,1409,0,0,86,4,2149,140,94,234,24,208,1
1410,1410,0,0,86,4,2821,97,89,186,38,192,1
1411,1411,2,1,85,9,2569,119,42,161,25,145,2
1412,1412,1,2,83,13,3913,186,52,238,25,214,1
1413,1413,3,1,85,12,7854,172,88,260,30,247,1
1414,1414,3,4,83,4,2422,78,38,116,24,103,1
1415,1415,4,1,84,21,4067,167,99,266,24,237,1
1416,1416,2,1,84,17,9051,146,112,258,40,271,1
1417,1417,1,1,84,3,2282,33,72,105,19,88,1
1418,1418,3,4,85,8,4172,162,61,223,32,216,1
1419,1419,4,4,85,9,4977,223,121,344,28,320,1
1420,1420,3,2,85,8,1617,119,48,167,26,152,2
1421,1421,4,3,85,8,3192,57,43,100,43,108,1
1422,1422,4,4,86,14,3437,68,316,384,20,326,2
1423,1423,3,4,87,14,4494,9,386,395,21,340,2
1424,1424,4,2,86,5,840,58,34,92,29,86,1
1425,1425,4,4,86,12,14973,318,269,587,34,581,2
1426,1426,2,4,85,18,5180,88,170,258,34,255,1
1427,1427,2,4,86,5,5775,306,132,438,37,447,1
1428,1428,4,1,87,20,10577,304,78,382,39,397,1
1429,1429,1,4,86,8,3983,89,200,289,33,283,1
1430,1430,4,1,85,14,3164,86,230,316,33,310,1
1431,1431,2,0,86,6,3542,71,235,306,37,312,1
1432,1432,3,1,85,14,4277,148,324,472,39,491,1
1433,1433,4,4,85,16,7252,116,170,286,27,263,1
1434,1434,4,1,85,14,3948,175,277,452,37,461,1
1435,1435,4,3,86,6,3927,79,128,207,27,190,1
1436,1436,1,1,86,9,710,145,38,183,27,168,3
1437,1437,4,4,87,9,2429,174,78,252,41,267,3
1438,1438,1,1,85,5,6405,194,91,285,35,285,1
1439,1439,2,2,88,3,651,126,49,175,38,180,3
1440,1440,1,3,86,17,9135,317,119,436,34,432,2
1441,1441,2,4,87,11,1435,289,88,377,28,351,3
1442,1442,-1,-1,87,8,5922,260,144,404,24,360,1
1443,1443,1,4,88,4,847,158,59,217,18,180,3
1444,1444,3,3,88,16,8050,302,145,447,52,523,2
1445,1445,1,1,87,9,4620,451,48,499,28,464,1
1446,1446,2,4,87,34,2352,661,132,793,23,698,3
1447,1447,1,1,88,10,2174,64,54,118,25,106,1
1448,1448,-1,4,86,39,19894,284,230,514,50,591,1
1449,1449,2,1,86,18,6699,182,126,308,35,308,1
1450,1450,2,3,87,27,14987,173,332,505,19,424,1
1451,1451,2,2,88,9,4004,252,7,259,28,241,1
1452,1452,4,3,85,11,12824,131,180,311,51,361,1
1453,1453,2,3,85,8,2331,106,39,145,6,103,1
1454,1454,3,3,85,9,5817,96,108,204,29,192,1
1455,1455,2,3,85,7,2989,116,72,188,18,156,1
1456,1456,3,3,85,6,3136,86,49,135,32,131,1
1457,1457,2,3,85,17,14434,221,121,342,35,342,1
1458,1458,1,1,87,12,2583,61,96,157,18,130,1
1459,1459,1,3,86,12,3647,132,89,221,5,155,2
1460,1460,3,7,86,13,8232,45,387,432,16,350,2
1461,1461,1,1,86,12,3276,55,112,167,12,129,2
1462,1462,1,4,87,8,2723,124,52,176,14,139,2
1463,1463,3,3,87,5,3472,120,126,246,15,197,2
1464,1464,1,2,87,6,1575,47,32,79,14,62,2
1465,1465,1,1,86,12,2926,126,107,233,23,205,2
1466,1466,3,2,86,6,1876,101,45,146,15,117,2
1467,1467,1,1,86,5,2520,78,99,177,14,140,1
1468,1468,4,7,86,13,1603,69,74,143,14,113,1
1469,1469,1,3,86,8,3626,194,97,291,35,291,2
1470,1470,2,-1,87,10,6783,224,110,334,28,309,2
1471,1471,2,4,87,15,11361,323,184,507,35,507,2
1472,1472,1,3,86,6,1267,42,31,73,27,67,2
1473,1473,1,2,87,5,2548,74,43,117,25,105,2
1474,1474,3,4,87,10,1155,101,57,158,9,117,2
1475,1475,0,4,86,6,546,97,42,139,6,99,3
1476,1476,2,3,84,13,2275,134,77,211,13,165,2
1477,1477,4,5,86,26,9100,482,227,709,26,645,2
1478,1478,0,2,84,6,595,213,73,286,6,203,3
1479,1479,0,-1,84,22,3941,139,143,282,22,245,2
1480,1480,2,3,86,24,13860,473,182,655,40,688,2
1481,1481,4,4,85,12,1400,229,169,398,39,414,3
1482,1482,4,3,83,12,2800,227,73,300,34,297,1
1483,1483,4,4,82,24,9520,395,193,588,40,617,1
1484,1484,4,3,86,12,5880,469,176,645,43,697,3
1485,1485,4,4,85,36,23940,886,241,1127,34,1116,1
1486,1486,1,4,85,12,5152,253,52,305,34,302,1
1487,1487,0,0,86,4,5635,197,124,321,33,315,1
1488,1488,4,4,85,1,805,40,60,100,18,83,1
1489,1489,0,0,86,5,3829,200,119,319,30,303,1
1490,1490,0,0,86,4,2149,140,94,234,24,208,1
1491,1491,0,0,86,4,2821,97,89,186,38,192,1
1492,1492,2,1,85,9,2569,119,42,161,25,145,2
1493,1493,1,2,83,13,3913,186,52,238,25,214,1
1494,1494,3,1,85,12,7854,172,88,260,30,247,1
1495,1495,3,4,83,4,2422,78,38,116,24,103,1
1496,1496,4,1,84,21,4067,167,99,266,24,237,1
1497,1497,2,1,84,17,9051,146,112,258,40,271,1
1498,1498,1,1,84,3,2282,33,72,105,19,88,1
1499,1499,3,4,85,8,4172,162,61,223,32,216,1
1500,1500,4,4,85,9,4977,223,121,344,28,320,1
1501,1501,3,2,85,8,1617,119,48,167,26,152,2
1502,1502,4,3,85,8,3192,57,43,100,43,108,1
1503,1503,4,4,86,14,3437,68,316,384,20,326,2
1504,1504,3,4,87,14,4494,9,386,395,21,340,2
1505,1505,4,2,86,5,840,58,34,92,29,86,1
1506,1506,4,4,86,12,14973,318,269,587,34,581,2
1507,1507,2,4,85,18,5180,88,170,258,34,255,1
1508,1508,2,4,86,5,5775,306,132,438,37,447,1
1509,1509,4,1,87,20,10577,304,78,382,39,397,1
1510,1510,1,4,86,8,3983,89,200,289,33,283,1
1511,1511,4,1,85,14,3164,86,230,316,33,310,1
1512,1512,2,0,86,6,3542,71,235,306,37,312,1
1513,1513,3,1,85,14,4277,148,324,472,39,491,1
1514,1514,4,4,85,16,7252,116,170,286,27,263,1
1515,1515,4,1,85,14,3948,175,277,452,37,461,1
1516,1516,4,3,86,6,3927,79,128,207,27,190,1
1517,1517,1,1,86,9,710,145,38,183,27,168,3
1518,1518,4,4,87,9,2429,174,78,252,41,267,3
1519,1519,1,1,85,5,6405,194,91,285,35,285,1
1520,1520,2,2,88,3,651,126,49,175,38,180,3
1521,1521,1,3,86,17,9135,317,119,436,34,432,2
1522,1522,2,4,87,11,1435,289,88,377,28,351,3
1523,1523,-1,-1,87,8,5922,260,144,404,24,360,1
1524,1524,1,4,88,4,847,158,59,217,18,180,3
1525,1525,3,3,88,16,8050,302,145,447,52,523,2
1526,1526,1,1,87,9,4620,451,48,499,28,464,1
1527,1527,2,4,87,34,2352,661,132,793,23,698,3
1528,1528,1,1,88,10,2174,64,54,118,25,106,1
1529,1529,-1,4,86,39,19894,284,230,514,50,591,1
1530,1530,2,1,86,18,6699,182,126,308,35,308,1
1531,1531,2,3,87,27,14987,173,332,505,19,424,1
1532,1532,2,2,88,9,4004,252,7,259,28,241,1
1533,1533,4,3,85,11,12824,131,180,311,51,361,1
1534,1534,2,3,85,8,2331,106,39,145,6,103,1
1535,1535,3,3,85,9,5817,96,108,204,29,192,1
1536,1536,2,3,85,7,2989,116,72,188,18,156,1
1537,1537,3,3,85,6,3136,86,49,135,32,131,1
1538,1538,2,3,85,17,14434,221,121,342,35,342,1
1539,1539,1,1,87,12,2583,61,96,157,18,130,1
1540,1540,1,3,86,12,3647,132,89,221,5,155,2
1541,1541,3,7,86,13,8232,45,387,432,16,350,2
1542,1542,1,1,86,12,3276,55,112,167,12,129,2
1543,1543,1,4,87,8,2723,124,52,176,14,139,2
1544,1544,3,3,87,5,3472,120,126,246,15,197,2
1545,1545,1,2,87,6,1575,47,32,79,14,62,2
1546,1546,1,1,86,12,2926,126,107,233,23,205,2
1547,1547,3,2,86,6,1876,101,45,146,15,117,2
1548,1548,1,1,86,5,2520,78,99,177,14,140,1
1549,1549,4,7,86,13,1603,69,74,143,14,113,1
1550,1550,1,3,86,8,3626,194,97,291,35,291,2
1551,1551,2,-1,87,10,6783,224,110,334,28,309,2
1552,1552,2,4,87,15,11361,323,184,507,35,507,2
1553,1553,1,3,86,6,1267,42,31,73,27,67,2
1554,1554,1,2,87,5,2548,74,43,117,25,105,2
1555,1555,3,4,87,10,1155,101,57,158,9,117,2
1556,1556,0,4,86,6,546,97,42,139,6,99,3
1557,1557,2,3,84,13,2275,134,77,211,13,165,2
1558,1558,4,5,86,26,9100,482,227,709,26,645,2
1559,1559,0,2,84,6,595,213,73,286,6,203,3
1560,1560,0,-1,84,22,3941,139,143,282,22,245,2
1561,1561,2,3,86,24,13860,473,182,655,40,688,2
1562,1562,4,4,85,12,1400,229,169,398,39,414,3
1563,1563,4,3,83,12,2800,227,73,300,34,297,1
1564,1564,4,4,82,24,9520,395,193,588,40,617,1
1565,1565,4,3,86,12,5880,469,176,645,43,697,3
1566,1566,4,4,85,36,23940,886,241,1127,34,1116,1
1567,1567,1,4,85,12,5152,253,52,305,34,302,1
1568,1568,0,0,86,4,5635,197,124,321,33,315,1
1569,1569,4,4,85,1,805,40,60,100,18,83,1
1570,1570,0,0,86,5,3829,200,119,319,30,303,1
1571,1571,0,0,86,4,2149,140,94,234,24,208,1
1572,1572,0,0,86,4,2821,97,89,186,38,192,1
1573,1573,2,1,85,9,2569,119,42,161,25,145,2
1574,1574,1,2,83,13,3913,186,52,238,25,214,1
1575,1575,3,1,85,12,7854,172,88,260,30,247,1
1576,1576,3,4,83,4,2422,78,38,116,24,103,1
1577,1577,4,1,84,21,4067,167,99,266,24,237,1
1578,1578,2,1,84,17,9051,146,112,258,40,271,1
1579,1579,1,1,84,3,2282,33,72,105,19,88,1
1580,1580,3,4,85,8,4172,162,61,223,32,216,1
1581,1581,4,4,85,9,4977,223,121,344,28,320,1
1582,1582,3,2,85,8,1617,119,48,167,26,152,2
1583,1583,4,3,85,8,3192,57,43,100,43,108,1
1584,1584,4,4,86,14,3437,68,316,384,20,326,2
1585,1585,3,4,87,14,4494,9,386,395,21,340,2
1586,1586,4,2,86,5,840,58,34,92,29,86,1
1587,1587,4,4,86,12,14973,318,269,587,34,581,2
